Questao,Resposta,Dimensao,Inverso
1,5,Abertura,0
2,5,Abertura,0
3,4,Abertura,0
4,3,Abertura,0
5,2,Abertura,0
6,1,Abertura,0
7,2,Abertura,0
8,3,Abertura,1
9,4,Conscienciosidade,0
10,5,Conscienciosidade,0
11,4,Conscienciosidade,0
12,3,Conscienciosidade,0
13,2,Conscienciosidade,1
14,1,Conscienciosidade,0
15,2,Conscienciosidade,0
16,3,Conscienciosidade,1
17,4,Extroversao,0
18,5,Extroversao,0
19,4,Extroversao,0
20,3,Extroversao,0
21,2,Extroversao,0
22,1,Extroversao,1
23,2,Extroversao,0
24,3,Extroversao,1
25,4,Amabilidade,0
26,5,Amabilidade,0
27,4,Amabilidade,0
28,3,Amabilidade,0
29,2,Amabilidade,0
30,1,Amabilidade,0
31,2,Amabilidade,1
32,3,Amabilidade,1
33,4,Neuroticismo,0
34,5,Neuroticismo,0
35,4,Neuroticismo,0
36,3,Neuroticismo,0
37,2,Neuroticismo,0
38,1,Neuroticismo,1
39,2,Neuroticismo,1
40,3,Neuroticismo,0
41,4,Extra,0
42,5,Extra,0
43,4,Extra,0
44,3,Extra,0
